NTA,NTA Code,Borough ,Borough CD,Total Population,# 65+ Years,% 65+ Years,% 65+ Below Poverty,% Hispanic/Latino,% White,% Black,%Asian,% Other
Hudson Yards-Chelsea-Flatiron-Union Square MN13,,Manhattan,104,76863.00,10144.00,13.2,11.7,13.9,62.4,5.3,15.6,0.03
Lincoln Square MN14,,Manhattan,107,62685.00,13254.00,21.1,8.4,10.4,69.4,4.2,13,0.03
Clinton MN15,,Manhattan,104,49758.00,6597.00,13.3,22,21.1,52.8,5.5,17.5,0.03
Midtown-Midtown South MN17,,Manhattan,105,27875.00,4011.00,14.4,15.1,9.8,61.5,4.5,20.8,0.03
Turtle Bay-East Midtown MN19,,Manhattan,106,50180.00,12558.00,25,5.2,4.9,75.1,1.4,16.2,0.03
Murray Hill-Kips Bay MN20,,Manhattan,106,47775.00,7393.00,15.5,13.6,9.2,62.5,4.6,19.8,0.04
Gramercy MN21,,Manhattan,106,26928.00,3283.00,12.2,6.7,7.7,70.6,3.9,15.4,0.03
East Village MN22,,Manhattan,103,42529.00,4548.00,10.7,17.4,12.4,64.9,6.7,13.7,0.02
West Village MN23,,Manhattan,102,66258.00,10866.00,16.4,8.4,6,80,2.1,8.5,0.03
SoHo-TriBeCa-Civic Center-Little Italy MN24,,Manhattan,101,42698.00,5688.00,13.3,14.4,6.3,66.2,2.2,21.5,0.04
Battery Park City-Lower Manhattan MN25,,Manhattan,101,45680.00,3188.00,7,17,7.4,66.5,2.4,19.9,0.04
Chinatown MN27,,Manhattan,103,44062.00,9648.00,21.9,38.8,15.2,18.3,5.3,57.7,0.03
Lower East Side MN28,,Manhattan,103,68404.00,13475.00,19.7,34,39.4,23.3,11.4,23.6,0.02
Lenox Hill-Roosevelt Island MN31,,Manhattan,108,81559.00,14261.00,17.5,5.8,10.7,70,3.2,13.5,0.03
Yorkville MN32,,Manhattan,108,78241.00,13499.00,17.3,8.7,10.7,75,2.5,9.4,0.02
East Harlem South MN33,,Manhattan,111,59869.00,8434.00,14.1,28.4,44,19.7,23.4,11.1,0.02
East Harlem North MN34,,Manhattan,111,62810.00,7507.00,12,39.5,47.7,7.8,37.5,4.5,0.02
Washington Heights North MN35,,Manhattan,112,73052.00,11398.00,15.6,22.6,64.3,26.8,4.3,2.7,0.02
Washington Heights South MN36,,Manhattan,112,93663.00,12460.00,13.3,30,70.8,13.9,10.2,3.6,0.02
Upper East Side-Carnegie Hill MN40,,Manhattan,108,55649.00,17102.00,30.7,4.3,6.7,83.3,0.7,6.5,0.03
Stuyvesant Town-Cooper Village MN50,,Manhattan,106,22032.00,3541.00,16.1,8.7,8.2,72.2,4.8,11.8,0.03
park-cemetery-etc-Manhattan MN99,,Manhattan,111,1885.00,184.00,9.8,73,23,18.8,51.7,3.2,0.03
South Jamaica QN01,,Queens,412,43253.00,5107.00,11.8,17.6,16.6,1.4,62.1,8.6,0.11
Springfield Gardens North QN02,,Queens,412,27649.00,4849.00,17.5,10.2,6.1,1,89.6,2.1,0.01
Springfield Gardens South-Brookville QN03,,Queens,413,22380.00,3037.00,13.6,7.3,5.6,3,87.1,1.9,0.02
Rosedale QN05,,Queens,413,26117.00,3284.00,12.6,7.9,10.3,3.4,81.1,2.2,0.03
Jamaica Estates-Holliswood QN06,,Queens,408,26517.00,4685.00,17.7,9.8,15.4,22.3,24.7,32.5,0.05
Hollis QN07,,Queens,412,21448.00,2994.00,14,7.3,10.3,2.4,63.8,14.8,0.09
St. Albans QN08,,Queens,412,53134.00,7772.00,14.6,9.9,5.6,1.3,88.1,2.2,0.03
Breezy Point-Belle Harbor-Rockaway Park-Broad Cha QN10,,Queens,414,27894.00,5585.00,20,11.2,13.6,75.6,5.8,2.8,0.02
Hammels-Arverne-Edgemere QN12,,Queens,414,41470.00,4836.00,11.7,15,28.3,16.1,47.1,5.1,0.04
Far Rockaway-Bayswater QN15,,Queens,414,56522.00,7310.00,12.9,22.3,25.7,27,42.3,3.4,0.02
Forest Hills,QN17,Queens,406,88313.00,17622.00,20,13.8,15.8,49.9,2.4,27.5,0.04
Rego Park,QN18,Queens,406,27739.00,6120.00,22.1,15.7,14.9,40.5,5.2,36.8,0.03
Glendale,QN19,Queens,405,35576.00,4865.00,13.7,10.6,37.8,55.5,1.4,4.3,0.01
Ridgewood,QN20,Queens,405,75437.00,6591.00,8.7,10.4,47.6,41.2,1.7,7.8,0.02
Middle Village,QN21,Queens,405,40435.00,7253.00,17.9,7.9,20.1,67.1,0.8,10.2,0.02
Flushing,QN22,Queens,407,70219.00,13135.00,18.7,31.4,14.6,7.7,3.8,71.6,0.02
College Point,QN23,Queens,407,24795.00,3568.00,14.4,14.1,40.5,25.6,2,29.4,0.03
Corona,QN25,Queens,404,58498.00,6111.00,10.4,24.4,63.9,6.5,13,15,0.02
North Corona,QN26,Queens,403,54146.00,3626.00,6.7,19.9,88,1.1,3.2,7,0.01
East Elmhurst,QN27,Queens,403,19790.00,2826.00,14.3,17.3,60.7,5.3,21.6,11.1,0.01
Jackson Heights,QN28,Queens,403,98728.00,15448.00,15.6,17.2,56,16.6,2.6,22.9,0.02
Elmhurst,QN29,Queens,404,81745.00,10898.00,13.3,18.7,44.7,6,1.7,45.6,0.02
Maspeth,QN30,Queens,405,32179.00,4094.00,12.7,11.7,30.9,53.1,1.5,12.4,0.02
Hunters Point-Sunnyside-West Maspeth,QN31,Queens,402,69295.00,6837.00,9.9,10,31.9,38.5,2.2,24.5,0.03
Cambria Heights,QN33,Queens,413,21207.00,4168.00,19.7,6.5,6.6,0.9,89.8,0.4,0.02
Queens Village,QN34,Queens,413,54256.00,8071.00,14.9,9.4,18.5,5.6,47.7,15.3,0.13
Briarwood-Jamaica Hills,QN35,Queens,408,43476.00,5947.00,13.7,15.4,26.5,15.7,11.6,40.1,0.06
Kew Gardens Hills,QN37,Queens,408,37584.00,5703.00,15.2,10.1,15,51.5,6.6,23.9,0.03
Pomonok-Flushing Heights-Hillcrest,QN38,Queens,408,36975.00,4874.00,13.2,14.2,24.1,30.3,11.4,31.2,0.03
Fresh Meadows-Utopia,QN41,Queens,408,18699.00,3155.00,16.9,11.2,11.7,29.6,5.8,49.3,0.04
Oakland Gardens,QN42,Queens,411,30316.00,5444.00,18,10.3,9.9,37.7,2.6,46.9,0.03
Bellerose,QN43,Queens,413,27733.00,4196.00,15.1,10.3,21.1,25.5,7.9,41.7,0.04
Glen Oaks-Floral Park-New Hyde Park,QN44,Queens,413,24365.00,6321.00,25.9,8,10.6,40.2,5.4,40.5,0.03
Douglas Manor-Douglaston-Little Neck,QN45,Queens,411,25633.00,6310.00,24.6,6.7,10,46,1,40.4,0.03
Bayside-Bayside Hills,QN46,Queens,411,43212.00,8712.00,20.2,8.1,11.5,39.7,2.4,45.1,0.01
Ft. Totten-Bay Terrace-Clearview,QN47,Queens,407,22700.00,5810.00,25.6,9.4,12.6,57.2,0.8,27.4,0.02
Auburndale,QN48,Queens,411,20588.00,3982.00,19.3,9.9,13.6,32.8,1.1,49.9,0.03
Whitestone,QN49,Queens,407,31971.00,6978.00,21.8,7.4,14.5,60.7,0.4,22.2,0.02
Elmhurst-Maspeth,QN50,Queens,402,24234.00,3458.00,14.3,9,27,12.9,0.8,57.8,0.02
Murray Hill,QN51,Queens,407,50231.00,9834.00,19.6,20.3,15.8,23.7,1.7,56.8,0.02
East Flushing,QN52,Queens,407,25677.00,4731.00,18.4,23.7,17.8,15,1.1,64.2,0.02
Woodhaven,QN53,Queens,409,60572.00,7126.00,11.8,10.1,55.2,15.5,3.1,23.6,0.03
Richmond Hill QN54,,Queens,409,65068.00,7125.00,11,13.9,36.6,10.5,7.9,31.5,0.14
South Ozone Park QN55,,Queens,410,82931.00,10091.00,12.2,12.2,22.1,5.2,21,29.9,0.22
Ozone Park QN56,,Queens,410,24511.00,2748.00,11.2,9.9,42.5,21.5,5.3,24.9,0.06
Lindenwood-Howard Beach QN57,,Queens,410,29219.00,6420.00,22,9.8,22.3,67.8,1.8,5,0.03
Kew Gardens QN60,,Queens,409,23166.00,3700.00,16,17.5,26.2,45.9,5.1,18,0.05
Jamaica QN61,,Queens,412,53932.00,6401.00,11.9,18.1,35.2,3.3,15.7,34.7,0.11
Queensboro Hill QN62,,Queens,407,20269.00,2925.00,14.4,17.7,16.8,12.3,1.4,67.7,0.02
Woodside QN63,,Queens,402,43841.00,6896.00,15.7,14.9,33.8,22.6,0.8,40.4,0.02
Laurelton QN66,,Queens,413,26544.00,4659.00,17.6,5.8,5.7,1.2,89.7,0.7,0.03
Queensbridge-Ravenswood-Long Island City QN68,,Queens,401,19228.00,2184.00,11.4,36.2,34.5,15.5,25,21,0.04
Astoria QN70,,Queens,401,74767.00,9731.00,13,16.7,26.4,50.3,3.6,16.7,0.03
Old Astoria QN71,,Queens,401,24732.00,3123.00,12.6,19.1,32.5,39.4,9.8,15.6,0.03
Steinway QN72,,Queens,401,48235.00,6737.00,14,9.3,20.9,62.8,2.5,11.3,0.02
Baisley Park QN76,,Queens,412,39203.00,4595.00,11.7,7.5,12.3,1,68.5,7.1,0.11
Airport QN98,,Queens,483,-,-,,,,,,,#DIV/0!
park-cemetery-etc-Queens QN99,,Queens,409,159.00,48.00,30.2,31.2,44,45.3,,10.7,0.00
Annadale-Huguenot-Prince's Bay-Eltingville SI01,,Staten Isla,503,28976.00,5354.00,18.5,5.2,7.3,86.8,0.9,3.9,0.01
New Springville-Bloomfield-Travis SI05,,Staten Isla,502,41936.00,7233.00,17.2,10.7,14.9,58.9,4.1,19.4,0.03
Westerleigh SI07,,Staten Isla,501,24111.00,3882.00,16.1,9.3,15.6,71.1,3.2,8.9,0.01
Grymes Hill-Clifton-Fox Hills SI08,,Staten Isla,501,21707.00,2538.00,11.7,22.8,27.6,27.4,32.2,11,0.02
Charleston-Richmond Valley-Tottenville SI11,,Staten Isla,503,24275.00,2778.00,11.4,8.4,9.8,85.5,0.9,3.3,0.01
